# tensor-level manifest for dv4_proj_weights.safetensors
# tensors: 334   header_bytes: 32015
# __metadata__: {"model": "<ABSOLUTE_MODEL_PATH>"}
# NOTE: __metadata__ is machine-specific (absolute model path) and is EXCLUDED
#       from the hashes below. Compare these, not the file hash.
# name	dtype	shape	nbytes	sha256(raw bytes)
layer_0.kv_norm.weight	BF16	(512,)	1024	9dfca99650e16907bacbd3db10b11157439b907942224d0caed76e697a6a63da
layer_0.wkv.weight	BF16	(512, 4096)	4194304	3cb2325a13922e0fbd9125a7834ee26ef3e72c26d25e7c907ab5d003abaf1342
layer_1.kv_norm.weight	BF16	(512,)	1024	0556fe218d8955600a622c9034acd55af8d2900af12e0d17f9aa48799d1e103a
layer_1.wkv.weight	BF16	(512, 4096)	4194304	31cc64bf69561cd670e813801b8b4a5bd5ab44243ae9df89c759f120ad502b1d
layer_10.comp.ape	F32	(4, 1024)	16384	21fb6ec0a30148e489745c06128757742d18d8b0c4fb36abc7ee545aea264421
layer_10.comp.norm.weight	BF16	(512,)	1024	43dc4406a9dd6addbf55f1c524d9a19d9fb2cfee347c3dddafec4c8e8ad37dea
layer_10.comp.wgate.weight	BF16	(1024, 4096)	8388608	1d033b11acf09b07e0ba8ec060fd2e15882caf5c2e5da6c7b0bb6e1fe6da39be
layer_10.comp.wkv.weight	BF16	(1024, 4096)	8388608	0fa634df9f4bc64a94500989a1424fb6952765b71013836e5a6253097b8bca05
layer_10.idx.ape	F32	(4, 256)	4096	18ac3e3568157e92efdec6138f236c9c62f7ff29371eb8c4e21abd758223a938
layer_10.idx.norm.weight	BF16	(128,)	256	79385e128834f58ff28a088f5a280c72d2b6f576904ccef7042fbe8a03889398
layer_10.idx.wgate.weight	BF16	(256, 4096)	2097152	083c30925f558e7d1be336b2898c7e21362c89f83453c81e34517203b5b93a6f
layer_10.idx.wkv.weight	BF16	(256, 4096)	2097152	76828dc72443a7bcb2fb8d80dd514e4b2343e437bb277b46a3b13429bd4892cb
layer_10.kv_norm.weight	BF16	(512,)	1024	af8f239ae379178f8e61834afd5c7a7bd05ceaf1fa891839014bac5317eb365a
